uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	defense	offense	wins	losses	ties	roof	rainfall	snowfall	helmet	rival	academics	type	state	reputation_int	reputation
227	N. Andover	27	0	$000099	$ffd700	$000099	$999999	AND	1	1	0	0	0	0	32	0	0	-1	0	0	MA	0	0000
228	Fairfield	27	0	$ffffff	$0000ff	$ffffff	$0000ff	FAI	9	3	0	0	0	0	32	0	0	-1	0	Religious	CT	0	0000
229	Johnstown	27	0	$333333	$0000ff	$ffffff	$0000ff	JOH	8	4	0	0	0	0	35	0	0	-1	0	Religious	PA	0	0000
230	Brockton	27	0	$333399	$333399	$ffffff	$ffffff	BRO	1	1	0	0	0	0	34	0	0	-1	0	0	MA	0	0000
231	Staten I.	27	0	$33664C	$33664C	$ffffff	$ffffff	S.I	3	1	0	0	0	0	29	0	0	-1	0	0	NY	0	0000
232	E. Illinois	28	0	$666666	$0000ff	$666666	$ffffff	EIL	5	2	0	0	0	0	28	0	0	213	0	0	IL	0	0000
233	S. Charles	28	0	$666666	$ffcc99	$666666	$ffcc99	SCH	1	1	0	0	0	0	29	0	0	-1	0	0	MO	0	0000
234	Murray	28	0	$000099	$000099	$000099	$ffd700	MUR	6	4	0	0	0	0	30	0	0	-1	0	0	KY	0	0000
235	S.E. Mo.	28	0	$666666	$0000ff	$0000ff	$0000ff	SEM	5	5	0	0	0	0	29	0	0	-1	0	0	MO	0	0000
236	Tennessee S.	28	0	$ffffff	$0000ff	$999999	$0000ff	TNS	6	3	0	0	0	0	25	0	0	-1	0	HBU	TN	0	0000
237	Tennessee T.	28	0	$ffffff	$663399	$c0c0c0	$ffff00	TNT	5	3	0	0	0	0	25	0	0	-1	0	0	TN	0	0000
238	Tennessee M.	28	0	$ffffff	$000066	$ffffff	$ffa800	TNM	6	6	0	0	0	0	25	0	0	-1	0	0	TN	0	0000
239	Lewisburg	29	0	$000099	$000099	$000099	$ffa800	LEW	3	0	0	0	0	0	30	0	0	-1	1	0	PA	0	0000
240	Hamilton	29	0	$800000	$800000	$ffffff	$c0c0c0	HML	6	3	0	0	0	0	37	0	0	-1	1	0	NY	0	0000
241	Bronx	29	0	$663333	$663333	$663333	$c0c0c0	BNX	5	7	0	0	0	0	31	0	0	-1	1	0	NY	0	0000
242	D.C. Cath.	29	0	$000066	$999999	$999999	$000066	DCC	5	3	0	0	0	0	26	0	0	-1	2	Religious	DC	0	0000
243	Worcester	29	0	$663399	$663399	$663399	$ffffff	WOR	8	7	0	0	0	0	33	0	0	-1	1	Religious	MA	0	0000
244	Easton	29	0	$ffffff	$993333	$ffffff	$993333	EAS	7	2	0	0	0	0	32	0	0	245	1	0	PA	0	0000
245	Bethlehem	29	0	$ffffff	$663300	$ffffff	$663300	BET	6	1	0	0	0	0	32	0	0	244	1	0	PA	0	0000
246	Indianapolis	30	0	$ffffff	$000099	$000099	$000099	IND	4	5	0	0	0	0	28	0	0	-1	0	0	IN	0	0000
247	Davidson	30	0	$0000ff	$0000ff	$333333	$ffffff	DVD	5	8	0	0	0	0	26	0	0	-1	2	0	NC	0	0000
248	Dayton	30	0	$ff0000	$ff0000	$ffffff	$000099	DAY	5	7	0	0	0	0	30	0	0	-1	0	0	OH	0	0000
249	Des Moines	30	0	$336699	$336699	$ffffff	$ffffff	D.M	7	1	0	0	0	0	26	0	0	-1	0	0	IA	0	0000
250	P'keepsie	30	0	$ffffff	$ff0000	$ff0000	$ff0000	POU	7	4	0	0	0	0	33	0	0	-1	0	Religious	NY	0	0000
251	Morehead S.	30	0	$ffffff	$0000ff	$0000ff	$ffff00	MHS	5	7	0	0	0	0	29	0	0	-1	0	0	KY	0	0000
252	Clinton	30	0	$ffffff	$0000ff	$0000ff	$0000ff	CLI	0	8	0	0	0	0	26	0	0	-1	0	Religious	SC	0	0000
253	St. Paul	30	0	$999999	$663399	$999999	$663399	STP	4	4	0	0	0	0	31	0	0	-1	0	Religious	MN	0	0000
254	San Diego	30	0	$000066	$99ccff	$000066	$ffffff	S.D	6	5	0	0	0	0	6	0	0	-1	0	0	CA	0	0000
255	DeLand	30	0	$ffffff	$006633	$006633	$006633	DEL	5	5	0	0	0	0	22	0	0	-1	0	0	AL	0	0000
256	Valparaiso	30	0	$ffffff	$660000	$ffcc99	$660000	VAL	5	5	0	0	0	0	29	0	0	-1	0	Religious	IN	0	0000
257	Chattanooga	31	0	$ffffff	$003366	$003366	$ff9900	CGA	8	5	0	0	0	0	27	0	0	-1	0	0	TN	0	0000
258	Charl’ton C.	31	0	$6699ff	$6699ff	$6699ff	$ffffff	CHC	4	5	0	0	0	0	25	0	0	260	0	0	SC	0	0000
259	E. Tennessee	31	0	$000099	$ffd700	$ffd700	$000099	ETN	7	7	0	0	0	0	25	0	0	-1	0	0	TN	0	0000
260	Greenville	31	0	$ffffff	$663399	$ffffff	$663399	GRN	7	5	0	0	0	0	25	0	0	258	0	0	SC	0	0000
261	Macon	31	0	$ffffff	$333333	$ffffff	$ffa800	MAC	7	7	0	0	0	0	25	0	0	-1	0	0	GA	0	0000
262	B'ham S.	31	0	$ffffff	$003366	$ffffff	$990000	BHS	3	8	0	0	0	0	22	0	0	166	0	0	AL	0	0000
263	W.N.C.	31	0	$663399	$663399	$ffffff	$cc9966	WNC	2	7	0	0	0	0	27	0	0	-1	0	0	NC	0	0000
264	Spartanburg	31	0	$ffcc99	$333333	$ffcc99	$ffcc99	SPA	4	4	0	0	0	0	26	0	0	-1	0	0	SC	0	0000
265	Virginia M.	31	0	$ffcc99	$ff0000	$ffcc99	$ff0000	VAM	4	7	0	0	0	0	27	0	0	258	0	Military	VA	0	0000
266	Houston B.	32	0	$ffffff	$0000ff	$0000ff	$ffa800	HOB	2	3	0	0	0	0	23	0	0	-1	0	0	TX	0	0000
267	S. Antonio	32	0	$ff0000	$ff0000	$ffffff	$333333	S.A	6	9	0	0	0	0	19	0	0	-1	0	0	TX	0	0000
268	Beaumont	32	0	$333333	$ff0000	$ff0000	$ff0000	BEA	3	1	0	0	0	0	24	0	0	-1	0	0	TX	0	0000
269	L. Charles	32	0	$ffd700	$006699	$ffd700	$006699	L.C	6	5	0	0	0	0	25	0	0	271	0	0	LA	0	0000
270	Thibodaux	32	0	$c0c0c0	$ff0000	$c0c0c0	$ff0000	THX	5	7	0	0	0	0	24	0	0	272	0	0	LA	0	0000
271	Nachitoches	32	0	$ffffff	$663399	$663399	$ffa800	NAC	4	3	0	0	0	0	25	0	0	269	0	0	LA	0	0000
272	S.E. La.	32	0	$ffffff	$ffd700	$ffffff	$339933	SEL	4	10	0	0	0	0	24	0	0	270	0	0	LA	0	0000
273	Texas A.C.	32	0	$ffd700	$000099	$000099	$000099	TXC	1	1	0	0	0	0	20	0	0	-1	0	0	TX	0	0000
274	Alabama A.	33	0	$ffffff	$800000	$ffffff	$800000	ALA	4	8	0	0	0	0	23	0	0	275	0	HBU	AL	0	0000
275	Alabama S.	33	0	$ffcc99	$333333	$333333	$333333	ALS	6	4	0	0	0	0	23	0	0	274	0	HBU	AL	0	0000
276	Daytona	33	0	$800000	$800000	$800000	$ffd700	D.B	4	5	0	0	0	0	27	0	0	277	0	HBU	FL	0	0000
277	Fla. A.M.	33	0	$ffa800	$339966	$ffa800	$339966	FAM	8	6	0	0	0	0	27	0	0	276	0	HBU	FL	0	0000
278	Jackson S.	33	0	$000066	$000066	$000066	$ffffff	JAS	9	6	0	0	0	0	24	0	0	280	0	HBU	MS	0	0000
279	Miss. V.S.	33	0	$006633	$006633	$006633	$ffffff	MVS	5	3	0	0	0	0	23	0	0	-1	0	HBU	MS	0	0000
280	Lorman	33	1	$330066	$330066	$330066	$ffcc99	LOR	6	5	0	0	0	0	23	0	0	278	0	HBU	MS	0	0000
281	Arkansas P.	33	1	$333333	$333333	$333333	$ffff00	ARP	3	3	0	0	0	0	24	0	0	-1	0	HBU	AR	0	0000
282	Grambling	33	1	$999999	$999999	$ffd700	$ffd700	GRA	6	3	0	0	0	0	23	0	0	284	0	HBU	LA	0	0000
283	P.V.A.M.	33	1	$333399	$ffcc33	$333399	$ffcc33	PVA	6	5	0	0	0	0	23	0	0	-1	0	HBU	TX	0	0000
284	Baton Rouge	33	1	$ffffff	$66ccff	$66ccff	$ffffff	B.R	5	5	0	0	0	0	23	0	0	282	0	HBU	LA	0	0000
285	Texas So.	33	1	$660000	$660000	$ffffff	$ffffff	TSO	3	6	0	0	0	0	23	0	0	-1	0	HBU	TX	0	0000
286	Abilene	34	0	$ffffff	$0000ff	$ffffff	$333333	ABI	6	6	0	0	0	0	23	0	0	-1	0	Religious	TX	0	0000
287	Huntsville	34	0	$ffa800	$ffa800	$ffffff	$ffffff	HVL	7	9	0	0	0	0	24	0	0	289	0	0	TX	0	0000
288	S. Utah	34	0	$ffffff	$ff0000	$ff0000	$ffffff	SUT	3	3	0	0	0	0	7	0	0	-1	0	0	UT	0	0000
289	Nacogdoches	34	0	$663399	$663399	$663399	$ffffff	NCG	8	7	0	0	0	0	23	0	0	287	0	0	TX	0	0000
290	Stephenville	34	0	$663399	$663399	$ffffff	$ffffff	STE	1	1	0	0	0	0	18	0	0	-1	0	0	TX	0	0000
291	Utah T.	34	0	$ff0000	$ff0000	$ffffff	$ffffff	UTT	1	1	0	0	0	0	7	0	0	-1	0	0	UT	0	0000
292	Monmouth	23	0	$999999	$000099	$000099	$ffffff	MON	6	7	0	0	0	0	33	0	0	-1	0	0	NJ	0	0000
